# mu_0 sigma_0 logL logPrior
3.477869125540780537e+00 2.203438045638969611e-01 -1.355177613932210988e+04 -1.959051064449038426e+00
-3.950712552043744274e+00 2.447215727089964155e-01 -1.340510836334644409e+04 -2.063983116286001618e+00
-4.178499906441819789e+00 2.587449336502234409e-01 -1.336072258199464886e+04 -2.119704754191096274e+00
-4.928452333020783449e+00 3.085151153416667569e-01 -1.295760571441296815e+04 -2.295632828289403626e+00
-3.154033569923493818e+00 2.045023072538764142e-01 -1.251114756399965700e+04 -1.884441247733218860e+00
-4.954735757765992510e+00 3.165147897354884110e-01 -1.244073367365927697e+04 -2.321231959413509127e+00
3.909225066504248502e+00 2.575775677321212598e-01 -1.234501233563365895e+04 -2.115182898552080637e+00
-4.741752314700860005e+00 3.046627494342820652e-01 -1.232253623575422171e+04 -2.283067415165636493e+00
-3.321999269479696260e+00 2.175190135548406012e-01 -1.219179225252819379e+04 -1.946148255249861903e+00
-3.917685376652227269e+00 2.552298685720141846e-01 -1.212690050891414467e+04 -2.106026574379959548e+00
4.909658086164454538e+00 3.231139045672374310e-01 -1.211674470884711081e+04 -2.341866896675735443e+00
4.051428324233830480e+00 2.698348049428554996e-01 -1.203516293886099265e+04 -2.161671928105836749e+00
-3.956671474950921308e+00 2.700439037048024127e-01 -1.104203502008113173e+04 -2.162446541992448790e+00
3.145335281734421340e+00 2.226609813964235962e-01 -1.102206707860363167e+04 -1.969512341790744747e+00
3.836098832643870971e+00 2.687266688226842559e-01 -1.094624234654276006e+04 -2.157556751889275759e+00
-2.985654321111675724e+00 2.077259914102500549e-01 -1.094358109247107677e+04 -1.900081852144120731e+00
4.382138722994843860e+00 3.056472850424215015e-01 -1.089131835458535170e+04 -2.286293763764058795e+00
3.442033376105479103e+00 2.434978275596600406e-01 -1.088467343596813589e+04 -2.058970010655568394e+00
-3.875414727104689927e+00 2.712140097836902020e-01 -1.051903214903245134e+04 -2.166770203125384153e+00
-2.758035813323878926e+00 2.008386579583425480e-01 -1.011095355090785597e+04 -1.866363878899858442e+00
4.777367669460394595e+00 3.465090198652988618e-01 -1.000184417306126670e+04 -2.411770839547396683e+00
3.811875691795462373e+00 2.803392481844493300e-01 -9.940052320862992929e+03 -2.199862460331212688e+00
-3.356562081978640588e+00 2.437513850912762514e-01 -9.899731323651214552e+03 -2.060010782186525002e+00
-3.227479197733633676e+00 2.356614160652638623e-01 -9.835605087448226186e+03 -2.026258087099585659e+00
4.752182429885600357e+00 3.519611086077701900e-01 -9.597789937988964084e+03 -2.427382672483189729e+00
-2.927351514674970012e+00 2.196925214969862594e-01 -9.430411051268662050e+03 -1.956090929096997222e+00
-4.024944422323518012e+00 3.079367602881434851e-01 -8.780176574013765276e+03 -2.293756428050940599e+00
-4.605142571642704574e+00 3.510987239563976292e-01 -8.772746944269109008e+03 -2.424929438650334390e+00
-2.768304493698611868e+00 2.221979966264247541e-01 -8.314658289765913651e+03 -1.967430850981152446e+00
-3.251741023741049119e+00 2.607185487229743970e-01 -8.150520064993054802e+03 -2.127303457992765878e+00
4.440292886243373260e+00 3.590041557826126883e-01 -8.104129497777727011e+03 -2.447195954316377708e+00
-2.915454467052353671e+00 2.365308732901669209e-01 -8.073472880430232181e+03 -2.029940731764164674e+00
3.078240010783674485e+00 2.553879184859131346e-01 -8.053555846339621894e+03 -2.106645628094703682e+00
-4.388366355580788358e+00 3.521839353607916223e-01 -7.940317088570897795e+03 -2.428015572657288956e+00
3.696812325901330798e+00 3.051904762053092579e-01 -7.921225658950052093e+03 -2.284798083728371232e+00
4.016651247657762269e+00 3.315081668437887541e-01 -7.852114861244173881e+03 -2.367514435250948512e+00
3.195198810771460174e+00 2.703789804252667572e-01 -7.694610370568841972e+03 -2.163686595932584833e+00
3.843281699832588494e+00 3.249952728334175589e-01 -7.516885378185851550e+03 -2.347672626994974809e+00
-4.052536729268344295e+00 3.354044515872213750e-01 -7.503492665545774798e+03 -2.379199111672330336e+00
2.577774097389738728e+00 2.368859327631520073e-01 -6.801379185851664261e+03 -2.031440718815818336e+00
3.672472749180636598e+00 3.288757139177878042e-01 -6.741263043673111497e+03 -2.359541900044713536e+00
-4.570515904143855224e+00 3.994258743472766104e-01 -6.689630101455983095e+03 -2.553890191825104683e+00
2.358799774880225630e+00 2.217528222506651714e-01 -6.644551681451895092e+03 -1.965425338180900150e+00
